Weight
197.69
198.70
197.88
197.36
198.73
200.06
198.29
199.62
199.18
199.38
198.83
199.36
195.34
197.18
197.45
197.59
197.39
200.13
200.02
197.64
198.80
197.87
199.54
198.44
198.50
197.71
199.27
198.05
197.81
199.41
199.77
197.81
199.12
197.39
197.84
197.59
199.89
196.31
196.54
198.51
199.04
197.28
198.84
197.32
197.83
197.77
197.27
197.54
197.60
198.68
196.77
196.89
200.01
199.37
196.48
197.63
197.05
197.63
196.78
195.16
199.96
197.01
198.35
196.58
198.47
198.39
198.51
198.80
197.90
196.40
196.63
198.63
197.78
198.51
199.37
198.25
199.19
197.43
198.71
196.97


































































































































































































































































































































































































































































































































































































































































































































































































































